time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-12T00:11:27.400Z,36.5007,-99.1826,6.471,2.9,ml,,202,,0.71,us,us2000c34c,2018-03-06T00:49:37.040Z,"7km NNE of Mooreland, Oklahoma",earthquake,2.1,4.9,,,reviewed,tul,tul
2017-12-11T04:29:07.300Z,36.0166,-97.3287,6.726,2.5,ml,,32,,0.25,us,us2000c2rs,2018-03-06T00:49:35.040Z,"10km NW of Langston, Oklahoma",earthquake,1.1,3.6,,,reviewed,tul,tul
2017-12-10T18:46:49.800Z,36.0325,-97.9079,6.482,2.5,ml,,27,,0.16,us,us2000c2n9,2018-03-06T00:49:35.040Z,"8km S of Hennessey, Oklahoma",earthquake,1.2,4.8,,,reviewed,tul,tul
2017-12-10T12:02:45.100Z,36.7016,-98.4297,5,3.5,ml,,91,,0.28,us,us2000c2km,2018-03-06T00:49:34.040Z,"8km SW of Cherokee, Oklahoma",earthquake,1.4,5.9,,,reviewed,tul,tul
2017-12-10T11:50:46.900Z,36.5034,-98.4645,6.45,3.3,ml,,48,,0.2,us,us2000c2kk,2018-03-06T00:49:34.040Z,"18km WSW of Helena, Oklahoma",earthquake,1.5,3.3,,,reviewed,tul,tul
2017-12-09T22:25:52.900Z,36.0313,-97.9078,6.274,2.7,ml,,49,,0.23,us,us2000c2gp,2018-02-28T02:32:35.040Z,"8km S of Hennessey, Oklahoma",earthquake,1.1,6.7,,,reviewed,tul,tul
2017-12-08T21:34:26.100Z,36.1276,-98.968,6.136,2.6,ml,,126,,0.55,us,us2000c26m,2018-02-28T02:32:33.040Z,"9km N of Taloga, Oklahoma",earthquake,1.5,2.9,,,reviewed,tul,tul
2017-12-08T05:48:07.900Z,35.3812,-98.1007,5.453,2.6,ml,,40,,0.31,us,us2000c1yj,2018-02-28T02:32:32.040Z,"14km W of Union City, Oklahoma",earthquake,2.5,7,,,reviewed,tul,tul
2017-12-08T01:13:42.800Z,36.4812,-98.7372,4.847,2.5,ml,,86,,0.49,us,us2000c1x2,2018-02-28T02:32:32.040Z,"32km NW of Fairview, Oklahoma",earthquake,3.3,2.7,,,reviewed,tul,tul
2017-12-07T12:47:38.900Z,36.2028,-98.6736,3.382,2.7,ml,,32,,0.22,us,us2000c1kg,2018-02-28T02:32:31.040Z,"18km WSW of Fairview, Oklahoma",earthquake,1.5,4.6,,,reviewed,tul,tul
2017-12-06T19:39:51.300Z,36.2128,-98.7741,6.635,2.5,ml,,112,,0.54,us,us2000c19x,2018-02-28T02:32:29.040Z,"25km NE of Taloga, Oklahoma",earthquake,1.5,4.7,,,reviewed,tul,tul
2017-12-06T17:46:00.100Z,36.1543,-97.4844,7.568,3.2,ml,,21,,0.14,us,us1000bmtm,2018-02-28T02:32:29.040Z,"23km SW of Perry, Oklahoma",earthquake,1,5,,,reviewed,tul,tul
2017-12-05T23:06:39.100Z,35.6603,-97.1599,5.332,2.9,ml,,34,,0.33,us,us1000bmkc,2018-02-28T02:32:28.040Z,"3km E of Luther, Oklahoma",earthquake,1.2,3.4,,,reviewed,tul,tul
2017-12-05T16:56:36.800Z,36.1142,-97.866,7.172,2.5,ml,,30,,0.16,us,us1000bmft,2018-02-28T02:32:27.040Z,"2km E of Hennessey, Oklahoma",earthquake,1.2,1.1,,,reviewed,tul,tul
2017-12-05T06:04:38.500Z,36.6215,-99.2002,1.978,2.5,ml,,143,,0.51,us,us1000bmae,2018-02-28T02:32:26.040Z,"20km N of Mooreland, Oklahoma",earthquake,2.7,4.8,,,reviewed,tul,tul
2017-12-05T04:33:07.400Z,36.3723,-97.1304,5.505,2.5,ml,,31,,0.17,us,us1000bmgg,2018-02-28T02:32:26.040Z,"16km ENE of Perry, Oklahoma",earthquake,0.9,2.1,,,reviewed,tul,tul
2017-12-05T04:26:38.200Z,36.3699,-97.1259,6.706,4.1,mwr,,31,,0.55,us,us1000bm9m,2018-06-09T14:33:38.896Z,"17km ENE of Perry, Oklahoma",earthquake,2.6,4.8,0.044,49,reviewed,tul,us
2017-12-05T01:44:26.600Z,35.374,-98.0925,7.028,2.5,ml,,42,,0.69,us,us1000bll8,2018-02-28T02:32:26.040Z,"13km W of Union City, Oklahoma",earthquake,1.1,4.4,,,reviewed,tul,tul
2017-12-05T00:31:59.600Z,36.5837,-98.5266,3.432,3,ml,,35,,0.44,us,us1000bl7u,2018-02-28T02:32:26.040Z,"23km W of Helena, Oklahoma",earthquake,1.5,4.2,,,reviewed,tul,tul
2017-12-04T05:44:39.600Z,35.971,-97.1659,5,2.5,ml,,32,,0.16,us,us1000bksx,2018-02-28T02:32:25.040Z,"8km ENE of Langston, Oklahoma",earthquake,1,4.8,,,reviewed,tul,tul
2017-12-04T05:06:00.600Z,35.0561,-96.183,3.076,2.9,ml,,55,,0.42,us,us1000bkss,2018-02-28T02:32:25.040Z,"19km E of Holdenville, Oklahoma",earthquake,1.8,3.3,,,reviewed,tul,tul
2017-12-03T14:04:19.000Z,36.4626,-98.7572,7.058,2.5,ml,,40,,0.43,us,us1000bkk0,2018-02-28T02:32:23.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.8,3.6,,,reviewed,tul,tul
2017-12-03T12:31:14.800Z,36.0205,-97.9211,6.199,2.5,ml,,27,,0.27,us,us1000bkjp,2018-02-28T02:32:23.040Z,"10km SSW of Hennessey, Oklahoma",earthquake,1.2,5.1,,,reviewed,tul,tul
2017-12-02T14:17:53.500Z,36.0135,-97.9286,5.883,2.6,ml,,20,,0.13,us,us1000bkaj,2018-02-20T09:06:12.040Z,"10km SSW of Hennessey, Oklahoma",earthquake,1.4,5.4,,,reviewed,tul,tul
2017-12-02T12:36:43.300Z,36.2032,-98.673,3.197,2.5,ml,,61,,0.36,us,us1000bk9m,2018-02-20T09:06:12.040Z,"18km WSW of Fairview, Oklahoma",earthquake,0.9,3.4,,,reviewed,tul,tul
2017-12-02T10:24:05.400Z,36.103,-97.8346,6.973,2.5,ml,,28,,0.14,us,us1000bk98,2018-02-20T09:06:12.040Z,"5km E of Hennessey, Oklahoma",earthquake,1.2,6.6,,,reviewed,tul,tul
