API,Lat,Lon,WellTy,TotDep,FormName,ITDepth,IBDepth,Vol_2017,Vol_2016,Vol_2015,Vol_2014,Vol_2013,Vol_2012,Vol_2011,Pres_2017,Pres_2016,Pres_2015,Pres_2014,Pres_2013,Pres_2012,Pres_2011,2DCm,2DNC,2R,2RIn,2RSI,Arb,Bart,Booch,Bromide,Burgess,Calvin,Chase,Cisco,Clev,Crom,Deese,Dutcher,Gilcrease,Healdton,Hoxbar,Hunton,Layton,Loco,Morrow,Penn,Permian,Pont,Prue,Red,Simp,Skinner,Tatums,Viola,Wil,n_wells5,n_wells10,vol_wells5_2017,vol_wells10_2017,vol_wells5_2016,vol_wells10_2016,vol_wells5_2015,vol_wells10_2015,vol_wells5_2014,vol_wells10_2014,vol_wells5_2013,vol_wells10_2013,vol_wells5_2012,vol_wells10_2012,vol_wells5_2011,vol_wells10_2011,n_eq3_20,n_eq4_50
3501904606,34.34522,-97.38504,2DNC,1900.0,,3248.187324929972,3546.1138550935175,66327.0,41423.0,39056.0,46689.0,43783.0,65498.0,68188.0,16.25,60.0,60.0,60.0,63.833333333333336,125.0,61.583333333333336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,303,6498205.0,64722499.0,6084460.455,61644547.455,6443991.0,57547259.0,5702427.071,60945837.071,5955854.0,53785074.0,5829600.0,51050160.0,4300630.0,50140381.0,0,0
3501904611,34.34302,-97.37902,2DNC,1550.0,,3248.187324929972,3546.1138550935175,75441.0,53968.0,38876.0,41997.0,43849.0,42558.0,43648.0,200.0,83.33333333333333,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,285,4465614.0,61137846.0,3941334.455,58520521.455,3984360.0,53632716.0,3432160.071,57492655.071,3838040.0,50582630.0,3849331.0,47778187.0,2901439.0,46788537.0,0,0
3501904642,34.403859,-97.54772,2RIn,5015.0,DEESE,3580.0,5133.0,175023.0,92834.0,159663.0,138526.0,116944.0,189521.0,130907.0,2339.25,1718.5833333333333,2020.4166666666667,1940.6666666666667,1916.6666666666667,2025.0,991.6666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,693,35962219.25,152167475.25,37253624.0,151455082.81,42420699.0,157881790.22,42477824.0,160100906.0,38352191.0,148784408.0,38308434.81,148224924.81,37744668.0,146191409.003,0,0
3501904646,34.402045,-97.54991,2RIn,4806.0,DEESE,3800.0,4719.0,136707.0,78887.0,149732.0,148781.0,82896.0,128015.0,64303.0,2065.8333333333335,1625.8333333333333,1803.0,1752.6666666666667,1895.8333333333333,2129.1666666666665,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,681,34501087.25,149424400.25,35518568.0,147493336.5,41077235.0,153857130.22,41326664.0,156020428.0,37117520.0,144777648.0,37173803.81,143836517.81,36606506.0,142186153.003,0,0
3501904647,34.400232,-97.54553,2RIn,4642.0,DEESE,3814.0,4154.0,151409.0,66122.0,184099.0,71864.0,670.0,56348.0,64303.0,2063.5,1640.5,1897.9166666666667,1857.5,2066.6666666666665,1708.3333333333333,1962.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,690,38193529.25000001,153511556.25,38431023.0,152168161.5,44339355.0,158325284.22,44062055.0,160750686.0,40901597.0,149249167.0,40579872.81,148933538.81,39747536.0,147447417.003,0,0
3501904681,34.396604,-97.55647,2RIn,7003.0,,3248.187324929972,3546.1138550935175,0.0,2384.0,0.0,0.0,0.0,96199.0,92269.0,0.0,0.0,0.0,0.0,0.0,1670.8333333333333,1706.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,608,30729734.88,122069930.25,31825536.0,119852232.5,36576295.0,124869399.22,36994444.0,127283646.0,32965373.0,116382634.0,33969260.81,115848181.81,32616682.0,112628817.003,0,0
3501904686,34.39479,-97.56084,2RIn,5042.0,,3248.187324929972,3546.1138550935175,0.0,0.0,0.0,79377.0,366922.0,384948.0,392463.0,0.0,0.0,0.0,212.5,0.0,41.666666666666664,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,569,29141711.88,109552614.25,30013034.0,106769117.5,34065058.0,113911128.22,34240308.0,114113475.0,30502662.0,104029139.0,31409956.81,104040950.81,29453425.0,101218120.003,0,0
3501904690,34.396604,-97.55866,2RIn,6903.0,DEESE,4130.0,4610.0,68027.0,63401.0,67101.0,141941.0,33050.0,48543.0,107157.0,1737.5,1725.0,1758.3333333333333,1700.0,1808.3333333333333,2195.8333333333335,1681.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,597,29829025.88,117031635.25,30917675.0,114978168.5,35423110.0,119868930.22,35881980.0,122073361.0,31994895.0,110824200.0,33135486.81,110363759.81,31294109.0,107588379.003,0,0
3501904692,34.39683,-97.559142,2RIn,6903.0,VELMA-DEESE,4130.0,4610.0,41079.0,24696.0,32434.0,39241.0,0.0,0.0,0.0,2329.8333333333335,1705.9166666666667,2061.5,2038.9166666666667,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,596,30624641.88,116567792.25,31371214.0,114590295.5,35611862.0,120103930.22,36020108.0,122062754.0,32371061.0,110740963.0,33473399.81,110451257.81,31489768.0,107665721.003,0,0
3501904695,34.391164,-97.55428,2RIn,5003.0,DEESE,3981.0,4328.0,192574.0,125494.0,165290.0,169782.0,177842.0,154053.0,42089.0,2235.1666666666665,1712.8333333333333,1961.0833333333333,2070.75,1887.5,2208.3333333333335,316.6666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,585,31322845.88,115768014.25,31683085.0,113113333.5,37281279.0,118022276.22,37268799.0,120747486.0,34179391.0,109970756.0,34641844.81,109784384.81,34732579.0,106795013.003,0,0
3501904700,34.391164,-97.55866,2RIn,4412.0,DEESE,3816.0,4134.0,61570.0,0.0,87961.0,76886.0,90006.0,94776.0,89004.0,2485.5833333333335,0.0,2387.1666666666665,2239.75,2045.8333333333333,2291.6666666666665,1683.3333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,554,29420178.88,106672919.25,29836824.0,104440952.5,34427746.0,109322492.22,34970678.0,111751009.0,30891611.0,100539478.0,31878949.81,100202848.81,30891543.0,97449182.003,0,0
3501904701,34.391617,-97.55811,2RIn,5560.0,,3248.187324929972,3546.1138550935175,19360.0,198866.0,353765.0,289069.0,443409.0,447688.0,427775.0,0.0,300.0,450.0,441.6666666666667,750.0,605.8333333333334,310.4166666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,564,29842189.88,108653747.25,30280001.0,106490929.5,34944983.0,111460295.22,35434945.0,113679663.0,31393424.0,102438483.0,32318397.81,102149907.81,31379538.0,99194080.003,0,0
